timestamp,latitude (dd),longitude (dd),altitude (m),ground speed (m/s),deltaTime (s),vertical speed (m/s),apparent velocity (m/s),,,,,,,,,,
10/18/2025 9:02,40.446005,-104.634655,1426.8,0.29837752,,,,,,,,,,,,,
10/18/2025 9:02,40.44601,-104.634645,1427.1,1.99089828,1,0.3,2.013374273,,,,,,,,,,
10/18/2025 9:02,40.44601,-104.634645,1427.7,1.99089828,1,0.6,2.07934508,,,,,,,,,,
10/18/2025 9:02,40.44602333,-104.63459,1428.6,1.97032052,1,0.9,2.166140104,,,,,,,,,,
10/18/2025 9:02,40.446025,-104.6345683,1429.4,1.66165412,1,0.8,1.844205632,,,,,,,,,,
10/18/2025 9:02,40.44603,-104.634545,1430.3,2.15552036,1,0.9,2.335865583,,,,,,,,,,
10/18/2025 9:02,40.44603333,-104.634515,1431.5,2.81915312,1,1.2,3.063923027,,,,,,,,,,
10/18/2025 9:02,40.44603333,-104.634515,1432.7,2.81915312,1,1.2,3.063923027,,,,,,,,,,
10/18/2025 9:02,40.44603667,-104.634445,1435,2.81400868,1,2.3,3.634369939,,,,,,,,,,
10/18/2025 9:02,40.44603667,-104.6344133,1436.4,2.3664424,1,1.4,2.749554443,,,,,,,,,,
10/18/2025 9:02,40.44603667,-104.634385,1437.9,2.3407202,1,1.5,2.780102706,,,,,,,,,,
10/18/2025 9:02,40.44604,-104.634355,1439.3,2.78828648,1,1.4,3.120022675,,,,,,,,,,
10/18/2025 9:02,40.44604,-104.634355,1440.6,2.78828648,1,1.3,3.076449495,,,,,,,,,,
10/18/2025 9:02,40.44604833,-104.63428,1441.9,3.40047484,1,1.3,3.640498474,,,,,,,,,,
10/18/2025 9:02,40.44604833,-104.6342417,1443.3,3.08151956,1,1.4,3.384636288,,,,,,,,,,
10/18/2025 9:02,40.44604833,-104.6342083,1444.8,2.66996436,1,1.5,3.062467907,,,,,,,,,,
10/18/2025 9:02,40.44605167,-104.6341767,1446.2,2.68025324,1,1.4,3.023864651,,,,,,,,,,
10/18/2025 9:02,40.44605167,-104.6341767,1447.6,2.68025324,1,1.4,3.023864651,,,,,,,,,,
10/18/2025 9:02,40.44605833,-104.6341067,1449,3.28729716,1,1.4,3.572999107,,,,,,,,,,
10/18/2025 9:02,40.44606,-104.63407,1450.5,3.27186384,1,1.5,3.599318406,,,,,,,,,,
10/18/2025 9:02,40.44606167,-104.6340317,1452,3.10724176,1,1.5,3.450355251,,,,,,,,,,
10/18/2025 9:02,40.44606333,-104.6339967,1453.6,2.93747524,1,1.6,3.344960506,,,,,,,,,,
10/18/2025 9:02,40.44606333,-104.6339967,1455.3,2.93747524,1,1.7,3.393929991,,,,,,,,,,
10/18/2025 9:02,40.44606833,-104.63393,1456.9,2.76256428,1,1.6,3.192453821,,,,,,,,,,
10/18/2025 9:02,40.44606833,-104.6338967,1458.7,2.79857536,1,1.8,3.327465108,,,,,,,,,,
10/18/2025 9:02,40.44607,-104.6338633,1460.5,2.92718636,1,1.8,3.436338165,,,,,,,,,,
10/18/2025 9:02,40.44606833,-104.6338267,1462.4,2.96319744,1,1.9,3.520019754,,,,,,,,,,
10/18/2025 9:02,40.44606833,-104.6338267,1464.2,2.96319744,1,1.8,3.467064907,,,,,,,,,,
10/18/2025 9:02,40.44606333,-104.633755,1466.1,3.0352196,1,1.9,3.580859955,,,,,,,,,,
10/18/2025 9:02,40.44606,-104.63372,1468,2.69054212,1,1.9,3.293784586,,,,,,,,,,
10/18/2025 9:03,40.44605667,-104.63369,1469.9,2.41274236,1,1.9,3.071046352,,,,,,,,,,
10/18/2025 9:03,40.44605167,-104.6336617,1471.8,2.28413136,1,1.9,2.971069853,,,,,,,,,,
10/18/2025 9:03,40.44605167,-104.6336617,1473.7,2.28413136,1,1.9,2.971069853,,,,,,,,,,
10/18/2025 9:03,40.446035,-104.6336067,1475.6,2.73684208,1,1.9,3.331711958,,,,,,,,,,
10/18/2025 9:03,40.44602667,-104.6335767,1477.6,2.60823108,1,2,3.286771876,,,,,,,,,,
10/18/2025 9:03,40.44602,-104.63355,1479.5,2.11950928,1,1.9,2.846457375,,,,,,,,,,
10/18/2025 9:03,40.44601167,-104.6335283,1481.4,1.94974276,1,1.9,2.722406441,,,,,,,,,,
10/18/2025 9:03,40.44601167,-104.6335283,1483.2,1.94974276,1,1.8,2.653581887,,,,,,,,,,
10/18/2025 9:03,40.44599,-104.6334783,1485,2.8808864,1,1.8,3.396984906,,,,,,,,,,
10/18/2025 9:03,40.44598,-104.6334467,1486.9,3.0609418,1,1.9,3.602688538,,,,,,,,,,
