lat,lon,alt
4.044619999999999749e+01,-1.046379000000000019e+02,1.500000000000000000e+03
4.044426986388415202e+01,-1.046328928058279359e+02,1.806591206962685192e+03
4.044435079426811086e+01,-1.046271651559343923e+02,2.118606891666349838e+03
4.044774344224259011e+01,-1.046216560169283412e+02,2.430481792168238371e+03
4.045267054755494485e+01,-1.046147691080445981e+02,2.745020284490436552e+03
4.045355417371092699e+01,-1.046002302896782794e+02,3.066098846718020468e+03
4.044916092596623969e+01,-1.045772901622295308e+02,3.394942563765425348e+03
4.043926000869977599e+01,-1.045464229542008070e+02,3.732089181034775265e+03
4.042794356670159317e+01,-1.045140936245800845e+02,4.071470543005943000e+03
4.041581927025693233e+01,-1.044807251360861784e+02,4.411145098470332414e+03
4.040243941422348684e+01,-1.044426098977952790e+02,4.749663530935182280e+03
4.038805653999587975e+01,-1.043993785326183001e+02,5.086240120935396590e+03
4.037377878717714452e+01,-1.043489059673266013e+02,5.415399374341962357e+03
4.036141830814631959e+01,-1.042953102565655712e+02,5.741921941612011324e+03
4.034973923014987918e+01,-1.042355893153294346e+02,6.065033021775618181e+03
4.033869263557293294e+01,-1.041696844448992181e+02,6.384896530744699703e+03
4.032745849785064252e+01,-1.040990592079295425e+02,6.700648112672922252e+03
4.031499903706868793e+01,-1.040247417187998167e+02,7.015561576860783134e+03
4.030195963844832363e+01,-1.039500301798073991e+02,7.330018545118741713e+03
4.028890993161740397e+01,-1.038742177053352549e+02,7.646118128532340961e+03
4.027414954270079761e+01,-1.037960921885025130e+02,8.004664400659654348e+03
4.025984214778287651e+01,-1.037156585697216542e+02,8.367360650383900065e+03
4.024593707039169033e+01,-1.036290766702605595e+02,8.735221756782271768e+03
4.022991976134598247e+01,-1.035339552447969851e+02,9.145854799632013965e+03
4.021444702594735077e+01,-1.034320292238291046e+02,9.562282605226238957e+03
4.019962853713377626e+01,-1.033219036294304090e+02,9.968349191196743050e+03
4.018531622635100575e+01,-1.032034577090520031e+02,1.036038805375959055e+04
4.017272165716289578e+01,-1.030775623653108966e+02,1.074363012952787358e+04
4.016225110444017332e+01,-1.029424796031547089e+02,1.110889711456283840e+04
4.015371186588614449e+01,-1.028000250555584216e+02,1.149742216544037547e+04
4.014641716001553817e+01,-1.026497258039486269e+02,1.213449416311996902e+04
4.013186715835399809e+01,-1.024894860155567500e+02,1.297333965347214144e+04
4.010875929227947978e+01,-1.023232243438168325e+02,1.381762492440018104e+04
4.007853031975784575e+01,-1.021802750661558861e+02,1.467249623375057126e+04
4.004555146452612036e+01,-1.020717428103372981e+02,1.553688459310443432e+04
4.001131541793112945e+01,-1.019952233400860564e+02,1.640412749779903243e+04
3.997217551743112551e+01,-1.019319859817594960e+02,1.728187730734461729e+04
3.992844874929863863e+01,-1.018790596694803412e+02,1.816062674947243067e+04
3.988055064288696627e+01,-1.018354762488997807e+02,1.904294643422265290e+04
3.982814970743812211e+01,-1.018020056174669890e+02,1.993758371125423218e+04
3.977313597574892157e+01,-1.017782709370478216e+02,2.083051960491769933e+04
3.970789288139221185e+01,-1.017640522707190200e+02,2.172767969800547871e+04
3.963355043870394212e+01,-1.017569793905634015e+02,2.262754883318745487e+04
3.955371401091394290e+01,-1.017519412641648273e+02,2.351550905261164371e+04
3.947063065401118820e+01,-1.017467692556425618e+02,2.441617009791659802e+04
3.939065830701289883e+01,-1.017381572891123653e+02,2.533380895037170922e+04
3.931329259675256083e+01,-1.017242160443602330e+02,2.453971452553543349e+04
3.926219181222488430e+01,-1.016866744239797953e+02,1.541562894734721704e+04
3.924618394100242824e+01,-1.015488601609439314e+02,1.015747829153392377e+04
3.923136166608790631e+01,-1.014602824773775183e+02,6.279412851301708542e+03
3.922287515121369239e+01,-1.014283131628066741e+02,3.091444232372840361e+03
