sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
0,2025-10-18 13:00,40.44647110648579,-104.63790553418417,1500,0.6,1.8920101097405135,2.061400049547482,6.0,0.7,41142,gfs,1,0.1,1.22,13020.0,1767982969.5944436,39.54300082169034,-102.14954647472427,27453.188798578398,39.41891825923545,-101.74734685657559,1103.0505040519681,271638.97516670905
1,2025-10-18 13:00,40.44620712252125,-104.63716194082997,1500,0.6,1.8368736169190012,2.0005996738692113,6.0,0.7,41142,gfs,1,0.1,1.22,13782.3,1767982975.1585681,39.46178328296111,-101.95758945250536,27603.016298985385,39.34204276114891,-101.55033796445768,1067.1489754243576,290535.13771323935
2,2025-10-18 13:00,40.446300559309215,-104.63676961525141,1500,0.6,1.9455426212664464,2.122007098429173,6.0,0.7,41142,gfs,1,0.1,1.22,12153.4,1767982979.727082,39.63838780725597,-102.35541216487357,27309.479313389802,39.519191981648014,-101.95657346855826,1148.7686930048335,250533.77023161206
3,2025-10-18 13:00,40.44588946211629,-104.63891216056149,1500,0.6,2.005523442862958,2.179147521426594,6.0,0.7,41142,gfs,1,0.1,1.22,12637.8,1767982984.621453,39.57324030679833,-102.24152094550166,27175.468733628095,39.45280924612084,-101.84652980637266,1099.2847339077782,262381.55540407763
4,2025-10-18 13:00,40.4459106618396,-104.63776988521418,1500,0.6,2.0264900177666507,2.2051541935876324,6.0,0.7,41142,gfs,1,0.1,1.22,12068.0,1767982989.20616,39.638814522821555,-102.3733481431148,27116.82160642276,39.51940940478418,-101.98102131121375,1147.0918370593954,248686.8708686473
5,2025-10-18 13:00,40.447055956594006,-104.63918755537696,1500,0.6,2.008967203159289,2.1764690928645622,6.0,0.7,41142,gfs,1,0.1,1.22,13416.199999999999,1767982994.4533653,39.49013796062617,-102.0511996884623,27181.711709967094,39.378484751947056,-101.66058272385196,1099.7094555029191,280434.93178925285
6,2025-10-18 13:00,40.446687783380604,-104.63678389440395,1500,0.6,1.9373545160113879,2.1070873835040578,6.0,0.7,41142,gfs,1,0.1,1.22,13022.099999999999,1767982999.9077644,39.5396455299375,-102.1497237875741,27344.508823327746,39.41627534419719,-101.7514872176506,1103.1853944526733,271370.07450241875
7,2025-10-18 13:00,40.44669797782732,-104.63865021817982,1500,0.6,1.96968567024008,2.140695518915526,6.0,0.7,41142,gfs,1,0.1,1.22,12925.5,1767983005.15279,39.54713439130044,-102.17185696328248,27264.532979759537,39.42399798644939,-101.77521774725088,1100.1766827917152,269305.9636769402
8,2025-10-18 13:00,40.44641656360643,-104.63744555496633,1500,0.6,1.8382589655709056,2.019520271809996,6.0,0.7,41142,gfs,1,0.1,1.22,11382.699999999999,1767983010.07339,39.72224069395789,-102.55313940801574,27555.15377646054,39.59587571518785,-102.13482700230826,1192.8098213397373,233139.17722297818
9,2025-10-18 13:00,40.44649053330062,-104.63768765072594,1500,0.6,2.0149670955871164,2.18522864396049,6.0,0.7,41142,gfs,1,0.1,1.22,13030.5,1767983015.7993155,39.53364977343171,-102.15047110151936,27161.102005365912,39.41151066571411,-101.75874892576071,1101.6094656046168,271102.01760609343
10,2025-10-18 13:00,40.44632797951952,-104.63797975728926,1500,0.6,1.7936707351786376,1.9767317671595233,6.0,0.7,41142,gfs,1,0.1,1.22,11270.0,1767983021.427887,39.73194586928109,-102.57147521228659,27660.958043669496,39.603691253898134,-102.14899772579585,1188.945409162838,231710.77273283064
11,2025-10-18 13:00,40.446384306747994,-104.63791348598625,1500,0.6,1.9869281710488378,2.1572129978494736,6.0,0.7,41142,gfs,1,0.1,1.22,13012.3,1767983027.0105555,39.53700729344764,-102.15335991289479,27227.04753766586,39.41431750865329,-101.75925705353926,1103.2461134104865,270938.53534397384
12,2025-10-18 13:00,40.44588618018915,-104.63800612304817,1500,0.6,2.0164188426186604,2.19179590928891,6.0,0.7,41142,gfs,1,0.1,1.22,12273.8,1767983032.128844,39.617329393032435,-102.33852302227552,27146.59358424781,39.49611547326282,-101.94531017832514,1144.9793672454505,252583.50370366845
13,2025-10-18 13:00,40.44582200426939,-104.63747949310724,1500,0.6,1.7669310263431492,1.9320061860017768,6.0,0.7,41142,gfs,1,0.1,1.22,13478.5,1767983038.194744,39.49912226491346,-102.02977334072189,27774.84184081109,39.38319880647242,-101.61562848525665,1052.6910830077604,283497.47154983995
14,2025-10-18 13:00,40.44664507765629,-104.63835515925479,1500,0.6,2.0463803277702244,2.2243343101752706,6.0,0.7,41142,gfs,1,0.1,1.22,12118.4,1767983043.246569,39.63456694682823,-102.36121115766092,27073.385668386818,39.51628179335258,-101.97091626986453,1147.6054490352178,249697.21859910645
15,2025-10-18 13:00,40.44654468669415,-104.63794957138262,1500,0.6,1.9703241306149335,2.144753417268091,6.0,0.7,41142,gfs,1,0.1,1.22,12521.599999999999,1767983048.3700113,39.5885216366152,-102.26670876566573,27255.583372770565,39.46882361446727,-101.86908512991597,1103.3255132109853,259819.60853799124
16,2025-10-18 13:00,40.44606841813605,-104.63786995086961,1500,0.6,1.832716620070001,2.0120912298484335,6.0,0.7,41142,gfs,1,0.1,1.22,11879.0,1767983053.2336571,39.66671836418825,-102.41944781108796,27573.640226926316,39.539059565909675,-102.00652921646133,1146.3793008984321,245791.95008989054
17,2025-10-18 13:00,40.44654774001646,-104.63813471318855,1500,0.6,2.00656882265364,2.1782583889380773,6.0,0.7,41142,gfs,1,0.1,1.22,12873.0,1767983058.5108128,39.55054152481635,-102.18618583450284,27178.54731492387,39.428135706218235,-101.79163884404991,1102.2837242936994,267789.60382797173
18,2025-10-18 13:00,40.44613967057126,-104.63856200912893,1500,0.6,1.9544051654762438,2.1335533471402393,6.0,0.7,41142,gfs,1,0.1,1.22,11999.4,1767983063.7005804,39.6491863933138,-102.39092563839354,27281.29860260291,39.52668275632209,-101.9917409716072,1145.766751122529,247581.73184085803
19,2025-10-18 13:00,40.44647188632069,-104.63790451381102,1500,0.6,1.9773122447914402,2.1467062125688736,6.0,0.7,41142,gfs,1,0.1,1.22,13073.9,1767983069.2156005,39.53289951707141,-102.14198209152941,27252.067483792853,39.41068709763603,-101.74699982312943,1100.416623051815,272065.26578764105
20,2025-10-18 13:00,40.44613176904704,-104.63802098379716,1500,0.6,2.106359185571025,2.2810303507407674,6.0,0.7,41142,gfs,1,0.1,1.22,12596.5,1767983074.439334,39.57166999891983,-102.25332493268228,26945.94582043563,39.45456385994477,-101.86697834050202,1102.6198456730715,260658.54327281882
21,2025-10-18 13:00,40.445720417255025,-104.63823893787725,1500,0.6,2.0060652526886362,2.179227083423433,6.0,0.7,41142,gfs,1,0.1,1.22,12689.599999999999,1767983079.663613,39.5673784030155,-102.22947513182203,27174.61425138773,39.445627571293194,-101.83440531605535,1100.9528727079107,263606.76335045963
22,2025-10-18 13:00,40.44570014273588,-104.63865706398559,1500,0.6,1.8050061034386262,1.9780044867164424,6.0,0.7,41142,gfs,1,0.1,1.22,12546.8,1767983085.0486917,39.595963352703166,-102.25703915611183,27658.037378300876,39.471352372160325,-101.84412007328639,1100.0142607570072,261650.11990887806
23,2025-10-18 13:00,40.44589951334614,-104.63827927508142,1500,0.6,1.9468851337224649,2.1219317406551417,6.0,0.7,41142,gfs,1,0.1,1.22,12261.199999999999,1767983090.3347776,39.62353780124391,-102.33838790488386,27308.406351049223,39.50121859100313,-101.93949561170378,1145.4025178266506,252811.35168870975
24,2025-10-18 13:00,40.44706477626734,-104.63834915746372,1500,0.6,1.9607884220306777,2.127362951397872,6.0,0.7,41142,gfs,1,0.1,1.22,13479.9,1767983095.5971348,39.48664511744418,-102.03525333215526,27296.027856959794,39.3751306554468,-101.63956846986434,1103.0378245602167,282157.63392497256
