sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
0,2025-10-18 13:00,40.44596457296581,-104.63770946869522,1500,0.6,1.810988345905495,1.8567590212599374,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44596457296581,-104.63770946869522,1500.0,40.44596457296581,-104.63770946869522,1500.0,0.0
1,2025-10-18 13:00,40.446267479068766,-104.63775157293175,1500,0.6,1.81130245000851,2.0784286707586577,6.0,0.5,57600,gfs,1,0.1,1.22,6601.0,1767919158.0527294,40.131051060646755,-103.52002399570632,27412.12039691701,39.97911282900476,-103.12826270665012,1497.034916488866,138300.52005751815
2,2025-10-18 13:00,40.44569307313826,-104.63808106042873,1500,0.6,1.7916758139603373,2.0419501710818007,6.0,0.5,57600,gfs,1,0.1,1.22,7391.5,1767919162.3913162,40.07792144919761,-103.3743051500128,27501.711998080405,39.92888600840627,-102.97103238577809,1498.5905027959266,152822.05732775034
3,2025-10-18 13:00,40.44661968913291,-104.63797903027235,1500,0.6,1.7506282968562599,1.8961374633364887,6.0,0.5,57600,gfs,1,0.1,1.22,16800.5,1767919176.3557281,39.204096853341156,-101.31040655686526,27865.49142968563,39.11872697223725,-100.9234527269206,1498.5517942510442,350031.6417899921
4,2025-10-18 13:00,40.44601994967237,-104.6374603619717,1500,0.6,1.7778570569067536,2.032495785300906,6.0,0.5,57600,gfs,1,0.1,1.22,7307.5,1767919180.337064,40.08432778387904,-103.38701982325307,27522.983335649602,39.934701587687435,-102.98244881732793,1497.0048742913416,151639.38318432166
5,2025-10-18 13:00,40.44593301829096,-104.63822203481796,1500,0.6,1.7935222416709264,1.892357233368001,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44593301829096,-104.63822203481796,1500.0,40.44593301829096,-104.63822203481796,1500.0,0.0
6,2025-10-18 13:00,40.4469790915072,-104.63760623452794,1500,0.6,1.8470431651499655,1.9325972845993007,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.4469790915072,-104.63760623452794,1500.0,40.4469790915072,-104.63760623452794,1500.0,0.0
7,2025-10-18 13:00,40.44564941922073,-104.63843271060794,1500,0.6,1.7595901641846006,2.108077292529732,6.0,0.5,57600,gfs,1,0.1,1.22,5490.5,1767919183.366654,40.18892304005269,-103.69134096300117,27341.219147591488,40.04097083565635,-103.29586737394959,1497.7908312088273,122512.74173237749
8,2025-10-18 13:00,40.44590846387622,-104.63807572786945,1500,0.6,1.835360563738845,2.00877522193428,6.0,0.5,57600,gfs,1,0.1,1.22,12525.5,1767919191.5358894,39.596248904419845,-102.26265308519856,27581.669427048048,39.47925356121969,-101.85636524065065,1496.7894266400006,260288.49802791214
9,2025-10-18 13:00,40.44698663793668,-104.63787519336846,1500,0.6,1.8026234171344695,2.0472011902671374,6.0,0.5,57600,gfs,1,0.1,1.22,7510.0,1767919195.7966619,40.06996337844842,-103.35252484453189,27487.40211874966,39.92110731523361,-102.95022206785649,1498.9536498685025,154829.6590520793
